plnt_nm,country,cap_all,ttl_cp_,stts_ll,units,status,prod_kw,nx_tn_y,sx_tn_y,p10_tn_,p25_tn_,long,lat
Adani Godda power station,India,"800, 800",1600.000000000000000,"operating, operating",2,operating,14016000000.000000000000000,60268.800000000002910,100915.199999999997090,5185.920000000000073,2663.039999999999964,87.135464700000000,24.814107350000000
Anpara power station,India,"210, 210, 210, 500, 500",1630.000000000000000,"operating, operating, operating, operating, operating",5,operating,14278800000.000000000000000,61398.839999999996508,102807.360000000000582,5283.155999999999949,2712.972000000000207,82.789127800000003,24.202043000000000
Anpara-C power station,India,"600, 600",1200.000000000000000,"operating, operating",2,operating,10512000000.000000000000000,45201.599999999998545,75686.399999999994179,3889.440000000000055,1997.279999999999973,82.797330000000002,24.203787599999998
Anpara-D power station,India,"500, 500",1000.000000000000000,"operating, operating",2,operating,8760000000.000000000000000,37668.000000000000000,63072.000000000000000,3241.199999999999818,1664.400000000000091,82.806342200000003,24.196262200000000
Anpara-E power station,India,"660, 660",1320.000000000000000,"permitted, permitted",2,permitted,11563200000.000000000000000,49721.760000000002037,83255.039999999993597,4278.384000000000015,2197.007999999999811,79.940280000000001,26.192779999999999
Asansol Crescent power station,India,40,40.000000000000000,operating,1,operating,350400000.000000000000000,1506.720000000000027,2522.880000000000109,129.647999999999996,66.575999999999993,88.129999999999995,23.649999999999999
Badarpur Thermal Power Station Stage I,India,"95, 95, 95",285.000000000000000,"operating, operating, operating",3,operating,2496600000.000000000000000,10735.379999999999200,17975.520000000000437,923.741999999999962,474.353999999999985,77.307964999999996,28.503772000000001
Badarpur Thermal Power Station Stage II,India,"210, 210",420.000000000000000,"operating, operating",2,operating,3679200000.000000000000000,15820.559999999999491,26490.240000000001601,1361.304000000000087,699.048000000000002,77.307964999999996,28.503772000000001
Bakreswar Thermal Power Station Phase I,India,"210, 210, 210",630.000000000000000,"operating, operating, operating",3,operating,5518800000.000000000000000,23730.840000000000146,39735.360000000000582,2041.955999999999904,1048.571999999999889,87.451560000000001,23.828465999999999
Bakreswar Thermal Power Station Phase II,India,"210, 210",420.000000000000000,"operating, operating",2,operating,3679200000.000000000000000,15820.559999999999491,26490.240000000001601,1361.304000000000087,699.048000000000002,87.451560000000001,23.828465999999999
Bandel Thermal Power Station,India,"60, 210, 60, 60, 60",450.000000000000000,"operating, operating, operating, operating, operating",5,operating,3942000000.000000000000000,16950.599999999998545,28382.400000000001455,1458.539999999999964,748.980000000000018,88.403815399999999,22.995745599999999
Banka Thermal Power Plant,India,"660, 660, 660, 660",2640.000000000000000,"construction, construction, permitted, permitted",4,construction,23126400000.000000000000000,99443.520000000004075,166510.079999999987194,8556.768000000000029,4394.015999999999622,86.958299999999994,24.713999999999999
Bara Thermal Power Project,India,"660, 660, 660",1980.000000000000000,"operating, operating, operating",3,operating,17344800000.000000000000000,74582.639999999999418,124882.559999999997672,6417.576000000000022,3295.512000000000171,81.658533800000001,25.196345000000001
Barapukuria power station,Bangladesh,"125, 125, 275",525.000000000000000,"operating, operating, operating",3,operating,4599000000.000000000000000,19775.700000000000728,33112.800000000002910,1701.630000000000109,873.809999999999945,88.948631199999994,25.553756900000000
Barauni power station,India,"250, 250, 110, 110",720.000000000000000,"operating, operating, operating, operating",4,operating,6307200000.000000000000000,27120.959999999999127,45411.839999999996508,2333.664000000000215,1198.367999999999938,86.023488299999997,25.391375600000000
Barh I power station,India,"660, 660, 660",1980.000000000000000,"operating, construction, construction",3,operating,17344800000.000000000000000,74582.639999999999418,124882.559999999997672,6417.576000000000022,3295.512000000000171,85.745159999999998,25.469300000000000
Barh II power station,India,"660, 660",1320.000000000000000,"operating, operating",2,operating,11563200000.000000000000000,49721.760000000002037,83255.039999999993597,4278.384000000000015,2197.007999999999811,85.745159999999998,25.486499999999999
Barkhera IPP power station,India,"45, 45",90.000000000000000,"operating, operating",2,operating,788400000.000000000000000,3390.119999999999891,5676.479999999999563,291.708000000000027,149.795999999999992,80.099999999999994,28.550000000000001
Bhognipur power station,India,"660, 660",1320.000000000000000,"permitted, permitted",2,permitted,11563200000.000000000000000,49721.760000000002037,83255.039999999993597,4278.384000000000015,2197.007999999999811,79.907499999999999,26.194167000000000
Bilhaur Super Thermal Power Plant,India,"660, 660",1320.000000000000000,"pre-permit, pre-permit",2,pre-permit,11563200000.000000000000000,49721.760000000002037,83255.039999999993597,4278.384000000000015,2197.007999999999811,80.058059999999998,26.763390999999999
Budge Budge Generating Station,India,"250, 250, 250",750.000000000000000,"operating, operating, operating",3,operating,6570000000.000000000000000,28251.000000000000000,47304.000000000000000,2430.900000000000091,1248.299999999999955,88.139948700000005,22.470343700000001
Buxar Thermal Power Station,India,"660, 660",1320.000000000000000,"construction, construction",2,construction,11563200000.000000000000000,49721.760000000002037,83255.039999999993597,4278.384000000000015,2197.007999999999811,83.882568000000006,25.462349000000000
Chunar Cement power station,India,38,38.000000000000000,operating,1,operating,332880000.000000000000000,1431.384000000000015,2396.735999999999876,123.165599999999998,63.247199999999999,82.897338899999994,25.090884700000000
Churk captive power station,India,"60, 60, 60, 60",240.000000000000000,"operating, operating, operating, operating",4,operating,2102400000.000000000000000,9040.319999999999709,15137.280000000000655,777.888000000000034,399.456000000000017,83.101084799999995,24.639103700000000
Deenbandhu Chhotu Ram Thermal Power Plant,India,"300, 300",600.000000000000000,"operating, operating",2,operating,5256000000.000000000000000,22600.799999999999272,37843.199999999997090,1944.720000000000027,998.639999999999986,77.326764600000004,30.107517500000000
Dera Ghazi Khan Cement power station,Pakistan,30,30.000000000000000,operating,1,operating,262800000.000000000000000,1130.039999999999964,1892.160000000000082,97.236000000000004,49.932000000000002,70.539400000000001,30.331669999999999
Durgapur Projects Limited power station,India,"300, 250",550.000000000000000,"operating, operating",2,operating,4818000000.000000000000000,20717.400000000001455,34689.599999999998545,1782.660000000000082,915.419999999999959,87.302309300000005,23.521147299999999
Durgapur SAIL power station,India,"60, 60",120.000000000000000,"operating, operating",2,operating,1051200000.000000000000000,4520.159999999999854,7568.640000000000327,388.944000000000017,199.728000000000009,87.248475400000004,23.551805200000000
Durgapur Steel City Andal power station,India,"500, 500",1000.000000000000000,"operating, operating",2,operating,8760000000.000000000000000,37668.000000000000000,63072.000000000000000,3241.199999999999818,1664.400000000000091,87.204300000000003,23.579999999999998
Farakka power station,India,"200, 200, 200, 500, 500, 500",2100.000000000000000,"operating, operating, operating, operating, operating, operating",6,operating,18396000000.000000000000000,79102.800000000002910,132451.200000000011642,6806.520000000000437,3495.239999999999782,87.893707000000006,24.772728900000001
Fauji Fertilizer power station,Pakistan,118,118.000000000000000,operating,1,operating,1033680000.000000000000000,4444.823999999999614,7442.496000000000095,382.461599999999976,196.399200000000008,67.419619999999995,24.833089999999999
Feroze Gandhi Unchahar Power Station,India,"210, 210, 210, 210, 210, 500",1550.000000000000000,"operating, operating, operating, operating, operating, operating",6,operating,13578000000.000000000000000,58385.400000000001455,97761.600000000005821,5023.859999999999673,2579.820000000000164,81.327238399999999,25.913759700000000
Ghatampur power station,India,"660, 660, 660",1980.000000000000000,"construction, construction, construction",3,construction,17344800000.000000000000000,74582.639999999999418,124882.559999999997672,6417.576000000000022,3295.512000000000171,80.188900000000004,25.975000000000001
Guru Hargobind Lehra Mohabbat Power Station,India,"210, 210, 250, 250",920.000000000000000,"operating, operating, operating, operating",4,operating,8059200000.000000000000000,34654.559999999997672,58026.239999999997963,2981.903999999999996,1531.248000000000047,75.166096690000003,30.266554729999999
Guru Nanak Dev Thermal Power Station (GNDTP) Stage I,India,"110, 110, 110, 120",450.000000000000000,"operating, operating, operating, operating",4,operating,3942000000.000000000000000,16950.599999999998545,28382.400000000001455,1458.539999999999964,748.980000000000018,74.924700000000001,30.233499999999999
Haldia Energy power station,India,"600, 600",1200.000000000000000,"operating, operating",2,operating,10512000000.000000000000000,45201.599999999998545,75686.399999999994179,3889.440000000000055,1997.279999999999973,88.109747999999996,22.060459000000002
Haldia India Power,India,"150, 150, 150",450.000000000000000,"construction, construction, construction",3,construction,3942000000.000000000000000,16950.599999999998545,28382.400000000001455,1458.539999999999964,748.980000000000018,88.073212999999996,22.085533999999999
Harduaganj power station,India,"660, 110, 250, 250, 660",1930.000000000000000,"operating, operating, operating, operating, pre-permit",5,operating,16906800000.000000000000000,72699.240000000005239,121728.960000000006403,6255.515999999999622,3212.291999999999916,78.129999999999995,28.017499999999998
Hiranmaye Haldia power station,India,"150, 150",300.000000000000000,"operating, operating",2,operating,2628000000.000000000000000,11300.399999999999636,18921.599999999998545,972.360000000000014,499.319999999999993,88.098412600000003,22.076989000000001
Hub Cement power station,Pakistan,30,30.000000000000000,operating,1,operating,262800000.000000000000000,1130.039999999999964,1892.160000000000082,97.236000000000004,49.932000000000002,66.783609999999996,25.155889999999999
Hubco power station,Pakistan,"660, 660",1320.000000000000000,"operating, operating",2,operating,11563200000.000000000000000,49721.760000000002037,83255.039999999993597,4278.384000000000015,2197.007999999999811,66.688760000000002,24.914674999999999
Indira Gandhi Super Thermal Power Project,India,"500, 500, 500",1500.000000000000000,"operating, operating, operating",3,operating,13140000000.000000000000000,56502.000000000000000,94608.000000000000000,4861.800000000000182,2496.599999999999909,76.373160499999997,28.485091400000002
Jamshoro power station,Pakistan,"660, 660",1320.000000000000000,"construction, permitted",2,construction,11563200000.000000000000000,49721.760000000002037,83255.039999999993597,4278.384000000000015,2197.007999999999811,68.266110999999995,25.472221999999999
Jawaharpur Thermal Project,India,"660, 660",1320.000000000000000,"construction, construction",2,construction,11563200000.000000000000000,49721.760000000002037,83255.039999999993597,4278.384000000000015,2197.007999999999811,78.826070999999999,27.497098000000001
Kahalgaon Super Thermal Power Plant,India,"210, 210, 210, 210, 500, 500, 500",2340.000000000000000,"operating, operating, operating, operating, operating, operating, operating",7,operating,20498400000.000000000000000,88143.119999999995343,147588.480000000010477,7584.408000000000357,3894.695999999999913,87.265595200000007,25.236903200000000
Kanoria Captive Power Plant,India,50,50.000000000000000,operating,1,operating,438000000.000000000000000,1883.400000000000091,3153.599999999999909,162.060000000000002,83.219999999999999,83.056088000000003,24.203818999999999
Katwa Thermal Power Station,India,"800, 800",1600.000000000000000,"pre-permit, pre-permit",2,pre-permit,14016000000.000000000000000,60268.800000000002910,100915.199999999997090,5185.920000000000073,2663.039999999999964,88.139332999999993,23.652583000000000
Keti Bandar power station,Pakistan,"660, 660",1320.000000000000000,"pre-permit, pre-permit",2,pre-permit,11563200000.000000000000000,49721.760000000002037,83255.039999999993597,4278.384000000000015,2197.007999999999811,67.450000000000003,24.149999999999999
Khamberkhera IPP power station,India,"45, 45",90.000000000000000,"operating, operating",2,operating,788400000.000000000000000,3390.119999999999891,5676.479999999999563,291.708000000000027,149.795999999999992,80.799999999999997,27.899999999999999
Khurja power station,India,"660, 660",1320.000000000000000,"construction, construction",2,construction,11563200000.000000000000000,49721.760000000002037,83255.039999999993597,4278.384000000000015,2197.007999999999811,77.908332999999999,28.158332999999999
Kolaghat Thermal Power Station,India,"210, 210, 210, 210, 210, 210",1260.000000000000000,"operating, operating, operating, operating, operating, operating",6,operating,11037600000.000000000000000,47461.680000000000291,79470.720000000001164,4083.911999999999807,2097.143999999999778,87.870984100000001,22.416564999999999
Kundarki Ipp power station,India,"45, 45",90.000000000000000,"operating, operating",2,operating,788400000.000000000000000,3390.119999999999891,5676.479999999999563,291.708000000000027,149.795999999999992,82.230000000000004,27.030000000000001
Mahatma Gandhi power station,India,"660, 660",1320.000000000000000,"operating, operating",2,operating,11563200000.000000000000000,49721.760000000002037,83255.039999999993597,4278.384000000000015,2197.007999999999811,76.352534000000006,28.488143000000001
Maqsoodpur power station,India,"45, 45",90.000000000000000,"operating, operating",2,operating,788400000.000000000000000,3390.119999999999891,5676.479999999999563,291.708000000000027,149.795999999999992,79.939999999999998,27.809999999999999
Meja Thermal Power Project,India,"660, 660",1320.000000000000000,"operating, operating",2,operating,11563200000.000000000000000,49721.760000000002037,83255.039999999993597,4278.384000000000015,2197.007999999999811,81.940095999999997,25.145867299999999
Mejia power station,India,"500, 500, 210, 210, 210, 210, 250, 250",2340.000000000000000,"operating, operating, operating, operating, operating, operating, operating, operating",8,operating,20498400000.000000000000000,88143.119999999995343,147588.480000000010477,7584.408000000000357,3894.695999999999913,87.131100000000004,23.463899999999999
Muzaffargarh sugar mill power station,Pakistan,"60, 60",120.000000000000000,"operating, operating",2,operating,1051200000.000000000000000,4520.159999999999854,7568.640000000000327,388.944000000000017,199.728000000000009,70.966970000000003,30.294550000000001
Muzaffarpur power station,India,"195, 195, 110, 110",610.000000000000000,"construction, construction, operating, operating",4,construction,5343600000.000000000000000,22977.479999999999563,38473.919999999998254,1977.132000000000062,1015.283999999999992,85.303301800000000,26.194770800000001
Nabinagar Super Thermal Power Project,India,"660, 660, 660",1980.000000000000000,"operating, operating, operating",3,operating,17344800000.000000000000000,74582.639999999999418,124882.559999999997672,6417.576000000000022,3295.512000000000171,84.158025400000000,24.776000100000001
Nabinagar Thermal Power Project,India,"250, 250, 250, 250",1000.000000000000000,"operating, operating, operating, operating",4,operating,8760000000.000000000000000,37668.000000000000000,63072.000000000000000,3241.199999999999818,1664.400000000000091,84.088738399999997,24.705081199999999
National Capital Dadri Thermal Power Plant,India,"210, 210, 210, 210, 490, 490",1820.000000000000000,"operating, operating, operating, operating, operating, operating",6,operating,15943200000.000000000000000,68555.759999999994761,114791.039999999993597,5898.984000000000378,3029.208000000000084,77.607799999999997,28.603000000000002
Obra Thermal Power Station,India,"200, 200, 200, 200, 660, 660, 200",2320.000000000000000,"operating, operating, operating, operating, construction, construction, operating",7,operating,20323200000.000000000000000,87389.759999999994761,146327.040000000008149,7519.583999999999833,3861.407999999999902,82.980332500000003,24.444580299999998
Panipat power station,India,"110, 110, 110, 110, 210, 210, 250, 250",1360.000000000000000,"operating, operating, operating, operating, operating, operating, operating, operating",8,operating,11913600000.000000000000000,51228.480000000003201,85777.919999999998254,4408.032000000000153,2263.583999999999833,76.870271000000002,29.398841999999998
Panki Thermal Power Station,India,"660, 105, 105",870.000000000000000,"construction, operating, operating",3,construction,7621200000.000000000000000,32771.160000000003492,54872.639999999999418,2819.844000000000051,1448.028000000000020,80.241000000000000,26.476600000000001
Patuakhali power station (RPCL/NORINCO),Bangladesh,"660, 660",1320.000000000000000,"construction, construction",2,construction,11563200000.000000000000000,49721.760000000002037,83255.039999999993597,4278.384000000000015,2197.007999999999811,90.312348999999998,22.025148999999999
Payra power station (BCPCL),Bangladesh,"660, 660, 660, 660",2640.000000000000000,"operating, operating, construction, construction",4,operating,23126400000.000000000000000,99443.520000000004075,166510.079999999987194,8556.768000000000029,4394.015999999999622,90.308210000000003,22.001974000000001
Port Qasim EPC power station,Pakistan,"660, 660",1320.000000000000000,"operating, operating",2,operating,11563200000.000000000000000,49721.760000000002037,83255.039999999993597,4278.384000000000015,2197.007999999999811,67.369389999999996,24.784500000000001
Port Qasim Lucky power station,Pakistan,660,660.000000000000000,operating,1,operating,5781600000.000000000000000,24860.880000000001019,41627.519999999996799,2139.192000000000007,1098.503999999999905,67.274560100000002,24.812805399999998
Rajghat Power Station,India,"67.5, 67.5",135.000000000000000,"operating, operating",2,operating,1182600000.000000000000000,5085.180000000000291,8514.719999999999345,437.562000000000012,224.693999999999988,77.254043999999993,28.637429000000001
Rajiv Gandhi Thermal Power Project,India,"600, 600",1200.000000000000000,"operating, operating",2,operating,10512000000.000000000000000,45201.599999999998545,75686.399999999994179,3889.440000000000055,1997.279999999999973,75.857538000000005,29.346980299999998
Rajpura Thermal Power Project,India,"700, 700",1400.000000000000000,"operating, operating",2,operating,12264000000.000000000000000,52735.199999999997090,88300.800000000002910,4537.680000000000291,2330.159999999999854,76.577593100000001,30.558962800000000
Rampal power station,Bangladesh,"660, 660",1320.000000000000000,"operating, construction",2,operating,11563200000.000000000000000,49721.760000000002037,83255.039999999993597,4278.384000000000015,2197.007999999999811,89.556426999999999,22.592458199999999
Renusagar power station,India,"67.5, 75, 67.5, 74, 74, 68, 74, 74, 76.7, 75",725.700000000000045,"operating, operating, operating, operating, operating, operating, operating, operating, operating, operating",10,operating,6357132000.000000000000000,27335.667600000000675,45771.350400000002992,2352.138840000000073,1207.855080000000044,82.791279399999993,24.181093199999999
Rihand power station,India,"500, 500, 500, 500, 500, 500",3000.000000000000000,"operating, operating, operating, operating, operating, operating",6,operating,26280000000.000000000000000,113004.000000000000000,189216.000000000000000,9723.600000000000364,4993.199999999999818,82.791499999999999,24.027000000000001
Rosa Thermal Power Plant,India,"300, 300, 300, 300",1200.000000000000000,"operating, operating, operating, operating",4,operating,10512000000.000000000000000,45201.599999999998545,75686.399999999994179,3889.440000000000055,1997.279999999999973,79.937161799999998,27.819445500000000
Sagardighi Thermal Power Station,India,"300, 300, 500, 500, 660",2260.000000000000000,"operating, operating, operating, operating, construction",5,operating,19797600000.000000000000000,85129.679999999993015,142542.720000000001164,7325.112000000000080,3761.543999999999869,88.104000099999993,24.368814100000002
Sahiwal power station,Pakistan,"660, 660",1320.000000000000000,"operating, operating",2,operating,11563200000.000000000000000,49721.760000000002037,83255.039999999993597,4278.384000000000015,2197.007999999999811,73.238020000000006,30.714220000000001
Siddiqsons power station,Pakistan,330,330.000000000000000,permitted,1,permitted,2890800000.000000000000000,12430.440000000000509,20813.759999999998399,1069.596000000000004,549.251999999999953,70.367088300000006,24.783617599999999
Singrauli Super Thermal Power Station,India,"200, 200, 200, 200, 200, 500, 500, 800, 800",3600.000000000000000,"operating, operating, operating, operating, operating, operating, operating, permitted, permitted",9,operating,31536000000.000000000000000,135604.799999999988358,227059.200000000011642,11668.319999999999709,5991.840000000000146,82.706355200000004,24.104211899999999
Southern CESC power station,India,"67.5, 67.5",135.000000000000000,"operating, operating",2,operating,1182600000.000000000000000,5085.180000000000291,8514.719999999999345,437.562000000000012,224.693999999999988,88.291511999999997,22.549591100000001
Suratgarh Super Thermal Power Station,India,"250, 250, 250, 250, 250, 250, 660, 660",2820.000000000000000,"operating, operating, operating, operating, operating, operating, operating, operating",8,operating,24703200000.000000000000000,106223.759999999994761,177863.040000000008149,9140.183999999999287,4693.608000000000175,74.018741000000006,29.181766000000000
Talwandi Sabo Power Project,India,"660, 660, 660",1980.000000000000000,"operating, operating, operating",3,operating,17344800000.000000000000000,74582.639999999999418,124882.559999999997672,6417.576000000000022,3295.512000000000171,75.238929400000004,29.924579600000001
Tanda power station,India,"660, 660, 110, 110, 110, 110",1760.000000000000000,"operating, operating, operating, operating, operating, operating",6,operating,15417600000.000000000000000,66295.679999999993015,111006.720000000001164,5704.511999999999716,2929.344000000000051,82.600375400000004,26.589198700000001
ThalNova power station,Pakistan,330,330.000000000000000,operating,1,operating,2890800000.000000000000000,12430.440000000000509,20813.759999999998399,1069.596000000000004,549.251999999999953,70.388369400000002,24.815455900000000
Thar Block I power station,Pakistan,"660, 660",1320.000000000000000,"operating, operating",2,operating,11563200000.000000000000000,49721.760000000002037,83255.039999999993597,4278.384000000000015,2197.007999999999811,70.302493299999995,24.710802900000001
Thar Block II power station,Pakistan,"330, 330",660.000000000000000,"operating, operating",2,operating,5781600000.000000000000000,24860.880000000001019,41627.519999999996799,2139.192000000000007,1098.503999999999905,70.394069000000002,24.812481200000001
Thar Block VI power station,Pakistan,"700, 700",1400.000000000000000,"pre-permit, pre-permit",2,pre-permit,12264000000.000000000000000,52735.199999999997090,88300.800000000002910,4537.680000000000291,2330.159999999999854,70.315074899999999,24.840801700000000
Thar Energy Limited power station,Pakistan,330,330.000000000000000,operating,1,operating,2890800000.000000000000000,12430.440000000000509,20813.759999999998399,1069.596000000000004,549.251999999999953,70.400500699999995,24.806213499999998
The Durgapur Projects Limited,India,"250, 110, 30, 30, 77, 77, 77, 300",951.000000000000000,"operating, operating, operating, operating, operating, operating, operating, operating",8,operating,8330760000.000000000000000,35822.267999999996391,59981.472000000001572,3082.381199999999808,1582.844399999999951,87.302978999999993,23.518135000000001
Titagarh power station,India,"60, 60, 60, 60",240.000000000000000,"operating, operating, operating, operating",4,operating,2102400000.000000000000000,9040.319999999999709,15137.280000000000655,777.888000000000034,399.456000000000017,88.370309199999994,22.731974099999999
Utraula power station,India,"45, 45",90.000000000000000,"operating, operating",2,operating,788400000.000000000000000,3390.119999999999891,5676.479999999999563,291.708000000000027,149.795999999999992,82.180000000000007,27.430000000000000
Welspun Energy Mirzapur power station,India,"660, 660",1320.000000000000000,"permitted, permitted",2,permitted,11563200000.000000000000000,49721.760000000002037,83255.039999999993597,4278.384000000000015,2197.007999999999811,82.678633000000005,24.982358000000001
Master Power Plant,Pakistan, 0,0.000000000000000,operating,0, operating,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,74.179736570000003,31.268784870000001
Sheikhupura power station,Pakistan,31.5,31.500000000000000,construction,1,construction,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,74.180800000000005,31.652600000000000
